"Header1","Header2","Header3"
"assistant audit officer","3. planning individual audit","1"
"assistant audit officer","4. preparing audit design matrix","1"
"assistant audit officer","6. drafting of inspection report/audit report","1"
"assistant audit officer","7. as a faculty","1"
"assistant audit officer","accounts","1"
"assistant audit officer","acts","1"
"assistant audit officer","administration and trainings","1"
"assistant audit officer","administration of state office","1"
"assistant audit officer","administration, accounts, audit","1"
"assistant audit officer","administrative","1"
"assistant audit officer","advise for various act and rules","1"
"assistant audit officer","amc maintenance, monitoring of h/w & s/w complaints.","1"
"assistant audit officer","analysis of data","1"
"assistant audit officer","analyze the data downloaded from gst portals","1"
"assistant audit officer","any other official work entrusted by higher officials.","1"
"assistant audit officer","apar","1"
"assistant audit officer","apply data analytics and develop model using business intelligence ","1"
"assistant audit officer","arranging in-housing training and rtc /rti sponsored trainings","1"
"assistant audit officer","assist in issuance of inspection report","1"
"assistant audit officer","attending training as part of enhancement of competencies in official career","1"
"assistant audit officer","audinting of autonomous body","1"
"assistant audit officer","audit and verification of finance and appropriation accounts of nc railway.","1"
"assistant audit officer","audit as per program ","1"
"assistant audit officer","audit observations are issued to the auditee institute through audit enquiries","1"
"assistant audit officer","audit of annual accounts","1"
"assistant audit officer","audit of audit entities","1"
"assistant audit officer","audit of bsnl","1"
"assistant audit officer","audit of central excise and customs offices: ensure no tax evasion by assessee","1"
"assistant audit officer","audit of different defence (army) units.","1"
"assistant audit officer","audit of financial accounts","1"
"assistant audit officer","audit of government departement.","1"
"assistant audit officer","audit of government departments and government companies. companies act","1"
"assistant audit officer","audit of government expenditure to ensure public money is used in effective and economically and in efficient way for public welfare ","1"
"assistant audit officer","audit of government office","1"
"assistant audit officer","audit of government undertakings","1"
"assistant audit officer","audit of govt account etc","1"
"assistant audit officer","audit of indian railway accounts","1"
"assistant audit officer","audit of institutions/bodies funded by government of india","1"
"assistant audit officer","audit of ministries and psus","1"
"assistant audit officer","audit of ministry of communications","1"
"assistant audit officer","audit of ministry of statistics and programme implementation","1"
"assistant audit officer","audit of oil sector company","1"
"assistant audit officer","audit of performance of a project","1"
"assistant audit officer","audit of pris and ulbs ","1"
"assistant audit officer","audit of public sector undertakings and departments","1"
"assistant audit officer","audit of revenue and expenditure of different departments of government state as well as central ","1"
"assistant audit officer","audit of revenue and expenditure related to government of india accounts ","1"
"assistant audit officer","audit of system","1"
"assistant audit officer","audit of the accounts of government departments","1"
"assistant audit officer","audit of units under finance ministry","1"
"assistant audit officer","audit of vouchers","1"
"assistant audit officer","audit planning","1"
"assistant audit officer","audit the various organization like department/psus/ abs of  govt. of india.","1"
"assistant audit officer","audited many state government offices. checked key documents (kd) with prepared audit report for onward submission to hqrs' office.","1"
"assistant audit officer","auditing and administration","1"
"assistant audit officer","auditing government bodies and companies","1"
"assistant audit officer","auditing government organisation","1"
"assistant audit officer","auditing government organization","1"
"assistant audit officer","auditing govt accounts, schemes, etc","1"
"assistant audit officer","auditing of central government institutes","1"
"assistant audit officer","auditing of government departments","1"
"assistant audit officer","auditing of govt account","1"
"assistant audit officer","auditing receipts and expenditure of various cfas in the defence ecosystem","1"
"assistant audit officer","auditing the accounts of central government offices and autonomous bodies","1"
"assistant audit officer","auditing the central psus","1"
"assistant audit officer","auditing the government records","1"
"assistant audit officer","auditing the transaction of the period of audit called as compliance audit","1"
"assistant audit officer","auditing work","1"
"assistant audit officer","audliting the accounts of the government entity called as financial audit","1"
"assistant audit officer","balancesheet auditing","1"
"assistant audit officer","caat","1"
"assistant audit officer","cadre controlling activities","1"
"assistant audit officer","certification of autonomous bodies","1"
"assistant audit officer","check cashbook","1"
"assistant audit officer","check contractor's ledger","1"
"assistant audit officer","check of records of central gst offices","1"
"assistant audit officer","check of records of cgst tax payers","1"
"assistant audit officer","check the accounts.","1"
"assistant audit officer","check the facts ","1"
"assistant audit officer","check the facts with regards to proposal keeping in mind existing rules","1"
"assistant audit officer","check the records","1"
"assistant audit officer","check the wisdom of the expenditure","1"
"assistant audit officer","check transactions, check violation of government rules, implementation of govt schemes, prepare report","1"
"assistant audit officer","checking","1"
"assistant audit officer","checking the correctness of data provided by different government departments.","1"
"assistant audit officer","checking the facts to ensure revenue is realised and expenditure is made inline of rules and regulations framed  by the government and  ","1"
"assistant audit officer","checks the department records with existing rules, provisions, and legal precedents","1"
"assistant audit officer","checks the facts with regards to proposal keeping in mind existing rules, provisions, and legal precedents","1"
"assistant audit officer","co-ordinating with stakeholders","1"
"assistant audit officer","co-ordination among colleagues and audit unit","1"
"assistant audit officer","communication","1"
"assistant audit officer","communication with other departments within office and other government office outside the office ","1"
"assistant audit officer","compilation of accounts","1"
"assistant audit officer","compliance audit in direct taxes","1"
"assistant audit officer","compliance audit performance audit it audit and financial auditmaking audit observations and examination of records","1"
"assistant audit officer","compliance audit to ensure rules and guidelines are followed","1"
"assistant audit officer","compliance auditing","1"
"assistant audit officer","conduct the compliance and financial performance audits of different government departments.","1"
"assistant audit officer","conducting in house exams and registering for un audit exams embassy exam sas/cpd/rae exam","1"
"assistant audit officer","conducting performance audit of specific areas or issues pertaining to a period of 5 years","1"
"assistant audit officer","conducting scrutiny and presenting the inspection report to the senior audit officer","1"
"assistant audit officer","conducting various departmental audits of government organization.","1"
"assistant audit officer","contingent bills","1"
"assistant audit officer","court cases","1"
"assistant audit officer","data analyses ","1"
"assistant audit officer","data analysis ","1"
"assistant audit officer","data analytics","1"
"assistant audit officer","database","1"
"assistant audit officer","defence audit ","1"
"assistant audit officer","deputation","1"
"assistant audit officer","desk officer for finalization of audit reports of states ","1"
"assistant audit officer","desk officer for the c&ag's report on it audits ","1"
"assistant audit officer","doing receipt and expenditure audit to ensure compliance of codal provisions of indian railway as well as instructions","1"
"assistant audit officer","drafting of audit paras and preparation of audit report","1"
"assistant audit officer","drafting of reports","1"
"assistant audit officer","dta bills","1"
"assistant audit officer","economy","1"
"assistant audit officer","editing report","1"
"assistant audit officer","electrical","1"
"assistant audit officer","emotiial intelligence","1"
"assistant audit officer","empathy ","1"
"assistant audit officer","ensuring compliance of act and rules followed by various govt.department","1"
"assistant audit officer","ensuring govt revenue with effective, economically, efficiently and with ethics.","1"
"assistant audit officer","entitlements","1"
"assistant audit officer","environmental audit","1"
"assistant audit officer","establishment","1"
"assistant audit officer","expenditure","1"
"assistant audit officer","extraction of vlc database","1"
"assistant audit officer","file scrutiny","1"
"assistant audit officer","finalisation of reports","1"
"assistant audit officer","finance","1"
"assistant audit officer","financial audit ","1"
"assistant audit officer","financial audit of government accounts","1"
"assistant audit officer","financial auditing","1"
"assistant audit officer","financial management","1"
"assistant audit officer","find financial impropriety","1"
"assistant audit officer","furnishing replies to internal audit & dg inspection","1"
"assistant audit officer","gis","1"
"assistant audit officer","government accounts","1"
"assistant audit officer","gpf","1"
"assistant audit officer","grievance resolve through system","1"
"assistant audit officer","handling sai portal as office admin","1"
"assistant audit officer","have to have thorough understanding of acts governing the department or public sector undertakings ","1"
"assistant audit officer","have to understand departmental guidelines, rules and regulations etc","1"
"assistant audit officer","i am presently involved in drafting notes pertaining to administrative issues","1"
"assistant audit officer","i impart training on various information technology(it) topics which mainly includes it audit related softwares","1"
"assistant audit officer","ibems","1"
"assistant audit officer","imparting training to the officers and staff of indian audit & accounts department","1"
"assistant audit officer","implementation of it policies, maintenance of servers.","1"
"assistant audit officer","information security","1"
"assistant audit officer","information system auditing","1"
"assistant audit officer","information technology","1"
"assistant audit officer","information technology audit","1"
"assistant audit officer","inspection of railway departments like commercial","1"
"assistant audit officer","inspections","1"
"assistant audit officer","issue the observations","1"
"assistant audit officer","it audit tools ","1"
"assistant audit officer","it security ","1"
"assistant audit officer","it system audit","1"
"assistant audit officer","keep check on whether proper rules and regulations are followed by the department.","1"
"assistant audit officer","keep track of all the temporary staff","1"
"assistant audit officer","knime","1"
"assistant audit officer","law","1"
"assistant audit officer","laws","1"
"assistant audit officer","leading the team","1"
"assistant audit officer","liaison and coordinate with dor for gst data access issues ","1"
"assistant audit officer","like idea","1"
"assistant audit officer","ltc and tta bills","1"
"assistant audit officer","machine learning","1"
"assistant audit officer","maintenance and support of intranet modules","1"
"assistant audit officer","making observations and examination of records","1"
"assistant audit officer","management and support structure of the office","1"
"assistant audit officer","management of government audit","1"
"assistant audit officer","managing it inventories  ","1"
"assistant audit officer","managing various in house trainings on ms office","1"
"assistant audit officer","microsoft office","1"
"assistant audit officer","middle level management","1"
"assistant audit officer","miscellaneous official work as entrusted by higher authorities","1"
"assistant audit officer","monitoring activities like pay bill of the employees","1"
"assistant audit officer","monitoring the hardware and software related components","1"
"assistant audit officer","nfu","1"
"assistant audit officer","online inventory management","1"
"assistant audit officer","others kd related to department where there is involvement of government money","1"
"assistant audit officer","overall supervision of oios section","1"
"assistant audit officer","pay bill","1"
"assistant audit officer","pay fixation","1"
"assistant audit officer","pension","1"
"assistant audit officer","perform various audit","1"
"assistant audit officer","perform work related tdataanalysis on various platform like idea","1"
"assistant audit officer","performance audit ","1"
"assistant audit officer","performance audit in the direct taxes","1"
"assistant audit officer","performance audit of government of india schemes","1"
"assistant audit officer","performance audit of various central schemes under excise and customs","1"
"assistant audit officer","performance audit to ensure economy effectiveness ","1"
"assistant audit officer","performance auditing","1"
"assistant audit officer","performing big data operations ","1"
"assistant audit officer","posting","1"
"assistant audit officer","power point presentations to higher officials","1"
"assistant audit officer","preparation of audit memos","1"
"assistant audit officer","preparation of audit plan","1"
"assistant audit officer","preparation of guidelines","1"
"assistant audit officer","preparation of roster","1"
"assistant audit officer","prepare and submit various reports pertaining to hqrs","1"
"assistant audit officer","presentation of data/information ","1"
"assistant audit officer","presenting the inspection report to the senior audit officer ","1"
"assistant audit officer","processing of pension cases through bhavishya portal","1"
"assistant audit officer","projection of it requirements.","1"
"assistant audit officer","purchase","1"
"assistant audit officer","purchasing it assets ","1"
"assistant audit officer","reconciliation of data","1"
"assistant audit officer","registration for sas/ra/i/cpd exam","1"
"assistant audit officer","regulations","1"
"assistant audit officer","report preparation","1"
"assistant audit officer","retirement benefits","1"
"assistant audit officer","revenue audit","1"
"assistant audit officer","risk assessment ","1"
"assistant audit officer","sampling","1"
"assistant audit officer","scrutinising reports","1"
"assistant audit officer","scrutinization of draft audit reports and the supporting documents and follow-up actions after the report is published","1"
"assistant audit officer","scrutinizing and analyzing","1"
"assistant audit officer","scrutiny of all materials proposed to be included in the audit report","1"
"assistant audit officer","scrutiny of different scheme & there implementation","1"
"assistant audit officer","scrutiny of government accounts","1"
"assistant audit officer","scrutiny of government records","1"
"assistant audit officer","service record","1"
"assistant audit officer","settle all the claims and advances","1"
"assistant audit officer","software development","1"
"assistant audit officer","submission of calendar or returns (various returns)","1"
"assistant audit officer","submission of periodical reports to sr. audit officer and to higher authorities as required","1"
"assistant audit officer","submit report of findings ","1"
"assistant audit officer","supplementary accounts audit","1"
"assistant audit officer","supplementary audit of accounts","1"
"assistant audit officer","supplies missing facts to a proposal if any information is missing","1"
"assistant audit officer","support drafting of audit programme ","1"
"assistant audit officer","taking approvals for incurring expenditure as per sanctioning budgets","1"
"assistant audit officer","tasks related to oios application","1"
"assistant audit officer","teaching","1"
"assistant audit officer","team work","1"
"assistant audit officer","thematic audit","1"
"assistant audit officer","to audit public sector undertaking","1"
"assistant audit officer","to check proper execution of work in terms of economy, efficiency and effectiveness ","1"
"assistant audit officer","to check the budget and expenditure ","1"
"assistant audit officer","to check the utilisation of funds","1"
"assistant audit officer","to check whether there are any loopholes in the functioning of department or nto","1"
"assistant audit officer","to conduct audit following activities are undertaken: 1. understanding the environment in which the auditee organisation operates. ","1"
"assistant audit officer","to deal with the disciplinary cases and court cases","1"
"assistant audit officer","to laid down the report on the table of legislative assembly","1"
"assistant audit officer","to perform certification audit","1"
"assistant audit officer","to perform compliance audit","1"
"assistant audit officer","to physically verify the civil works execution ","1"
"assistant audit officer","to safeguard and be a part of transparency and responsibility in each sector of government business activities ","1"
"assistant audit officer","to verify whether desired outcomes are achieved after implementation of policies.","1"
"assistant audit officer","training","1"
"assistant audit officer","training activities","1"
"assistant audit officer","transaction and performance audit of various department of govt of goa.","1"
"assistant audit officer","transfer ","1"
"assistant audit officer","undertaking field audit of govt. departments","1"
"assistant audit officer","updating the knowledge about cgst acts","1"
"assistant audit officer","updating the knowledge about cgst notifications issued from time to time","1"
"assistant audit officer","updating the knowledge about cgst rules","1"
"assistant audit officer","updating the knowledge about hsn codes from time to time","1"
"assistant audit officer","use of ms office","1"
"assistant audit officer","using gis for authenticating the information ","1"
"assistant audit officer","verifying cash book","1"
"assistant audit officer","verifying scheme register related to state government and central government","1"
"assistant audit officer","verifying stock issue register","1"
"assistant audit officer","verifying the scrutiny assessments done by income tax officers with regard to compliance of provisions of income tax act/rules","1"
"assistant audit officer","website,oios and e-office administration.","1"
"assistant audit officer","workshop and stores","1"
"supervisor","postmastery","27"
"supervisor","supervisor","15"
"supervisor","postmaster","9"
"supervisor","management","7"
"supervisor","operation and supervision of post office","7"
"supervisor","inchargeship","5"
"supervisor","supervision","4"
"supervisor","manager","3"
"supervisor","supervision and operation of post office","3"
"supervisor","supervision of post office","3"
"supervisor","supervision of operation of post office","2"
"supervisor","targets","2"
"supervisor"," attend to the needs of passengers","1"
"supervisor","incharge","1"
"supervisor","operation and supervision of work of post office","1"
"supervisor","operation of post offices ","1"
"supervisor","posmastery","1"
"supervisor","post","1"
"supervisor","postmaster in postoffice","1"
"supervisor","postmatery","1"
"supervisor","supervise the issuing of tickets at booking counter","1"
"supervisor","supervision of all suboffices of tehri ","1"
"supervisor","supervisor ","1"
"supervisor","target achievement ","1"
"supervisor","target achivement","1"
"supervisor","targets achievment","1"
"supervisor","to manage post office work","1"
"supervisor","to supervise the work of post office.","1"
"senior postmaster","spm","18"
"senior postmaster","supervisor","15"
"senior postmaster","management","11"
"senior postmaster","manager","8"
"senior postmaster","supervise po work","7"
"senior postmaster","supervisor ","3"
"senior postmaster","to supervise post office work.","3"
"senior postmaster","managemant","2"
"senior postmaster","management ","2"
"senior postmaster","to supervise post office work","2"
"senior postmaster"," management","1"
"senior postmaster","activity supervisor","1"
"senior postmaster","ensuring financial inclusion of the last mile  person ","1"
"senior postmaster","general supervision ","1"
"senior postmaster","managment","1"
"senior postmaster","manajment","1"
"senior postmaster","supervise po wordk","1"
"senior postmaster","supervisor of po wordk","1"
"senior postmaster","to supervise po work","1"
"assistant section officer","parliament questions","4"
"assistant section officer","pay fixation","4"
"assistant section officer","noting","3"
"assistant section officer","rti","3"
"assistant section officer","drafting","2"
"assistant section officer"," analyse the vigilance clearance","1"
"assistant section officer"," analysis of existing business regulations and citizen service delivery mechanism","1"
"assistant section officer"," checking validity of income certificate online. ","1"
"assistant section officer"," complaints ","1"
"assistant section officer"," drafting of reply, if any w.r.t. the proposal","1"
"assistant section officer"," file putup","1"
"assistant section officer"," letter ","1"
"assistant section officer"," noting","1"
"assistant section officer"," preparation of document in ms excel","1"
"assistant section officer"," reconciliation of the expenditure with the pao","1"
"assistant section officer"," records management","1"
"assistant section officer"," referring gfr ","1"
"assistant section officer"," rtis","1"
"assistant section officer"," sanction order","1"
"assistant section officer"," training matters","1"
"assistant section officer"," vip references ","1"
"assistant section officer","-   checks the facts with regards to proposal keeping in mind existing rules, provisions, and legal precedents  -   supplies missing facts to a proposal if any information is missing  -   supports drafting of proposals  -   quotes previous precedents by referring to existing rules","1"
"assistant section officer","- monitoring the utilization of funds","1"
"assistant section officer","-hiring of consultancy firms- eoi rfp and contract ","1"
"assistant section officer","-monitoring of imis issues of states","1"
"assistant section officer","accountant","1"
"assistant section officer","accounts","1"
"assistant section officer","adding the receipt to a relevant existing file and if no such files exist opening of a new file by giving required data/ metadata for the same.","1"
"assistant section officer","administration and establishment matters","1"
"assistant section officer","administration of iits such as fc & bog meetings","1"
"assistant section officer","administrative matter of the manpower implementing the scheme ","1"
"assistant section officer","all administrative and service matters of government employees","1"
"assistant section officer","all establishment matter of attached office - to examine and put up on file","1"
"assistant section officer","analyze examine and check files related to financial matters","1"
"assistant section officer","apointment orders","1"
"assistant section officer","approving changes in the details of agency/ vendor ","1"
"assistant section officer","association related matters","1"
"assistant section officer","audit related matters ","1"
"assistant section officer","bank correspondence","1"
"assistant section officer","bills","1"
"assistant section officer","budget","1"
"assistant section officer","budgeting ","1"
"assistant section officer","cabinet note","1"
"assistant section officer","cabinet notes","1"
"assistant section officer","calculating per capita per month income of the family of applicant.","1"
"assistant section officer","calculation of leave salary & pension contribution","1"
"assistant section officer","ccs leave rules  ","1"
"assistant section officer","ccs(rp) rules 2016 ","1"
"assistant section officer","centrally sponsored scheme","1"
"assistant section officer","cghs matters","1"
"assistant section officer","checking facts","1"
"assistant section officer","checking facts as per gfr (general finance rule) ","1"
"assistant section officer","checking facts with regards to proposal keeping in mind existing rules, provisions, and legal precedents","1"
"assistant section officer","checking for any precedents ","1"
"assistant section officer","checking if affidavit from ministry is required or not","1"
"assistant section officer","checking if central ministry is the respondent or not ","1"
"assistant section officer","checking of documents as per requirement","1"
"assistant section officer","checking of facts as per existing rules","1"
"assistant section officer","checking of filled-up application for","1"
"assistant section officer","checking of rajya sabha and lok sabha guidelines time to time","1"
"assistant section officer","checking of ration cards whereever online data are availabe. ","1"
"assistant section officer","checking of timelines/rules/ competence followed ","1"
"assistant section officer","checking proposal as per imu act","1"
"assistant section officer","checking the bills","1"
"assistant section officer","checking uc utilising certificates ","1"
"assistant section officer","checking/ monitoring the projects","1"
"assistant section officer","checks the facts with regards to proposal keeping in mind existing rules, provisions, and precedents","1"
"assistant section officer","checks the facts with regards to proposal keeping in mind existing rules, provisions, etc. ","1"
"assistant section officer","children education allowance","1"
"assistant section officer","collection and compilation of expenditure details received from zonal railways and conveying them to irfc","1"
"assistant section officer","committee on sc/st/obc/pwd","1"
"assistant section officer","conducting dpcs for promotion","1"
"assistant section officer","conducting macp and consequent pay fixation","1"
"assistant section officer","contract management with edcil ","1"
"assistant section officer","coordinate between different central ministries/departments/subject matter verticals in niti aayog and verticals in-charge of different states/uts in niti aayog for action taken on issues raised by the states/uts in the meetings held under chairmanship of vc/ceo/members.","1"
"assistant section officer","coordination","1"
"assistant section officer","coordination and monitoring with central ministries and states to pursue reforms","1"
"assistant section officer","coordination with imu and iits","1"
"assistant section officer","coordination with stakeholders","1"
"assistant section officer","court cases","1"
"assistant section officer","court related matters","1"
"assistant section officer","cpgrams","1"
"assistant section officer","creation and approval of sanction for grants-in-aid to nilerd in pfms","1"
"assistant section officer","creation of posts","1"
"assistant section officer","data analysis","1"
"assistant section officer","data gathering","1"
"assistant section officer","dealing court cases","1"
"assistant section officer","dealing rtis","1"
"assistant section officer","dealing with ms teams ","1"
"assistant section officer","dealing with other miscellaneous work assigned to me by my superiors from time to time","1"
"assistant section officer","deals with rti","1"
"assistant section officer","deputation proposals","1"
"assistant section officer","direct recruitment proposals","1"
"assistant section officer","disciplinary proceedings ","1"
"assistant section officer","dpc and promotion proposals","1"
"assistant section officer","draft parliament replies pertaining to peninsular rivers","1"
"assistant section officer","drafting communication","1"
"assistant section officer","drafting of reports","1"
"assistant section officer","e-bill","1"
"assistant section officer","e-governance","1"
"assistant section officer","e-office ","1"
"assistant section officer","e-office module","1"
"assistant section officer","ehrms","1"
"assistant section officer","end to end software development","1"
"assistant section officer","engagement of consultants","1"
"assistant section officer","engagemnent of young professionals","1"
"assistant section officer","ensuring smooth appraisal of sfc / efc proposals.","1"
"assistant section officer","eoffice on mobile","1"
"assistant section officer","establishment rules","1"
"assistant section officer","event management ","1"
"assistant section officer","examination of grievances of industry in doing business","1"
"assistant section officer","examination of the proposal","1"
"assistant section officer","examining lease agreements and payments of lease rentals to irfc","1"
"assistant section officer","extension of currencies of temporary posts in railway board's office","1"
"assistant section officer","finance wing","1"
"assistant section officer","financial bill","1"
"assistant section officer","financial delegation related matters","1"
"assistant section officer","financial proposals","1"
"assistant section officer","for processing of pension papers of an employee, ccs pension rules are referred and pension is processed on bhavishya portal,  ","1"
"assistant section officer","foreign visits","1"
"assistant section officer","formulating policies for protection of vulnerable groups","1"
"assistant section officer","forwarding complaints grievances","1"
"assistant section officer","framing aadhaar (enrolment & update) regulations.","1"
"assistant section officer","framing of policies for aadhaar enrolment & update","1"
"assistant section officer","framing the draft answers of the admitted parliament questions","1"
"assistant section officer","fulfilment of assurance in time by taking inputs of stakeholders or monitoring the matter","1"
"assistant section officer","fundamental rules","1"
"assistant section officer","gfrs","1"
"assistant section officer","go through the receipts to identify urgency grading","1"
"assistant section officer","government process reengineering","1"
"assistant section officer","grievances","1"
"assistant section officer","handle disciplinary proceeding cases","1"
"assistant section officer","handling and maintaining data related to scheme","1"
"assistant section officer","i have worked in the field of administration of a cpse. now looking after some public private parternship projects for socnstrution of godowns","1"
"assistant section officer","identifying and examining the issues involved in the case and indicating precedents/facts, rule position, pointing out any mistake, incorrect statements of facts in respect of the case being dealt ","1"
"assistant section officer","implementation of central sector scheme and administrative matters of an autonomous body etc.","1"
"assistant section officer","implementation of newly ebill system ie digitilisation","1"
"assistant section officer","implementation of tsa mechanism","1"
"assistant section officer","in case of insufficient doccuments attached with application framing of call for letters for the same.","1"
"assistant section officer","information security","1"
"assistant section officer","interpretation of rules of dopt and ministry of railways regarding employees of goi","1"
"assistant section officer","issue of monthly expenditure statements","1"
"assistant section officer","issues related to foreingners in india","1"
"assistant section officer","issuing advisories","1"
"assistant section officer","issuing grant","1"
"assistant section officer","issuing promotion orders","1"
"assistant section officer","laying of annual report and audited accounts","1"
"assistant section officer","learner","1"
"assistant section officer","leave matters","1"
"assistant section officer","leave rules","1"
"assistant section officer","leave rules ","1"
"assistant section officer","leave sanction","1"
"assistant section officer","letter drafting ","1"
"assistant section officer","ltc","1"
"assistant section officer","ltc rules","1"
"assistant section officer","macp","1"
"assistant section officer","maintaining service records of employees and entries in it","1"
"assistant section officer","making notings; procuring items on gem portal","1"
"assistant section officer","making sanction orders","1"
"assistant section officer","management of minor minerals in the state","1"
"assistant section officer","managing the records as per record retention schedule of darpg","1"
"assistant section officer","managing the team","1"
"assistant section officer","medical claims ","1"
"assistant section officer","meeting arragment","1"
"assistant section officer","minimum space max information principle","1"
"assistant section officer","national testing agency nta","1"
"assistant section officer","note making","1"
"assistant section officer","noting and drafting","1"
"assistant section officer","office correspondance","1"
"assistant section officer","opening, maintenance and custody of files","1"
"assistant section officer","outsourcing of manpower","1"
"assistant section officer","parliament assurance","1"
"assistant section officer","parliament matters ","1"
"assistant section officer","parliament question","1"
"assistant section officer","parliament question on related matters","1"
"assistant section officer","parliamentary committees","1"
"assistant section officer","parliamentary matters","1"
"assistant section officer","parliamentary procedures","1"
"assistant section officer","parliamentary works","1"
"assistant section officer","pay and allowance","1"
"assistant section officer","pay fixation ","1"
"assistant section officer","pension and other terminal benefits","1"
"assistant section officer","pension matters","1"
"assistant section officer","performing all the work assigned ","1"
"assistant section officer","perusal of important lease agreements to be executed between indian railways and irfc","1"
"assistant section officer","pfms","1"
"assistant section officer","policy making","1"
"assistant section officer","policy matters of asean fellowship scheme","1"
"assistant section officer","policy matters of prime minister research fellowship","1"
"assistant section officer","policy matters regarding better implementation of scheme","1"
"assistant section officer","preparation of bills for legislation","1"
"assistant section officer","preparation of budget proposals for the secretariat expenditure of mha(proper)","1"
"assistant section officer","preparation of document in ms word ","1"
"assistant section officer","preparation of documents regarding visits","1"
"assistant section officer","preparation of ppt power point presentation","1"
"assistant section officer","preparation of replies of parliament questions","1"
"assistant section officer","prepare dpc proposal for promotion","1"
"assistant section officer","preparing calculation for payment to vendors","1"
"assistant section officer","presentation","1"
"assistant section officer","presently working in administration division of department of food and public distribution","1"
"assistant section officer","primary or secondary respondent","1"
"assistant section officer","processing information","1"
"assistant section officer","processing of e-files of eligible applicants.","1"
"assistant section officer","procurement","1"
"assistant section officer","procurement related matters","1"
"assistant section officer","protocol","1"
"assistant section officer","providing inputs as per policy","1"
"assistant section officer","put files to competent authority for financial and administrative approvals. ","1"
"assistant section officer","put up draft agreements for execution","1"
"assistant section officer","quarterly returns in respect of pay and various types of allowances to the central govt. employees required to be sent to ministry of finance.","1"
"assistant section officer","quotes previous precedents by referring to existing rules","1"
"assistant section officer","refer pfms","1"
"assistant section officer","release of funds for schemes to the institutions","1"
"assistant section officer","release of funds to iits","1"
"assistant section officer","release of grants-in-aid","1"
"assistant section officer","releasing grant in aid  ","1"
"assistant section officer","replies of aforsaid vip references are framed according to instructions of high officials.","1"
"assistant section officer","replying parliament questions and other references","1"
"assistant section officer","research on global best practices for reducing burdensome compliances on businesses and citizens","1"
"assistant section officer","reserach and putting up files for administrative approval of proposals related to border infrastructure management","1"
"assistant section officer","reservation in services","1"
"assistant section officer","revision of recruitment rules","1"
"assistant section officer","rti act","1"
"assistant section officer","rti replies","1"
"assistant section officer","rtis","1"
"assistant section officer","sanction orders","1"
"assistant section officer","saving of answers for record management","1"
"assistant section officer","scholarship schemes ","1"
"assistant section officer","seek vigilance clearance","1"
"assistant section officer","service matters","1"
"assistant section officer","service related matter of employees of publications division","1"
"assistant section officer","service rules","1"
"assistant section officer","sparrow portal","1"
"assistant section officer","staff car rules","1"
"assistant section officer","stakeholders consultation to understand the issues faced in government to business interface","1"
"assistant section officer","submission of financial proposal for release of funds to implementing agency","1"
"assistant section officer","submitting the receipt for consideration and decision of higher official","1"
"assistant section officer","supplies missing facts to a proposal if any information is missing","1"
